Dive,Collection,Individual,Temperature,InitialStage,Days,Mortality
J2-1407,BXC_D,52,14,W,3,0
J2-1407,BXC_D,53,14,W,6,1
J2-1404,BXC,44,14,W,10,0
J2-1404,BXC,17,14,EE,15,0
J2-1404,BXC,23,4,W,4,0
J2-1404,BXC,3,14,E,15,0
J2-1404,BXC,63,14,W,10,1
J2-1404,BXC,58,14,E,15,1
J2-1404,BXD,12,14,E,13,1
J2-1404,BXD,11,14,L,20,0
J2-1404,BXC,65,14,E,15,0
J2-1404,BXC,68,14,W,10,0
J2-1404,BXD,13,14,W,25,0
J2-1405,BXF,26,14,EE,15,1
J2-1405,BXF,25,14,L,11,1
J2-1405,BXE,25,14,W,11,1
J2-1405,BXE,27,14,EE,11,1
J2-1405,BXC,17,14,W,11,1
J2-1405,BXC,18,14,PW,15,1
J2-1405,BXC,19,14,W,11,1
J2-1405,MP2,14,4,L,4,1
J2-1405,MP2,17,4,PW,5,1
J2-1405,MP2,19,4,W,7,1
J2-1405,MP2,20,4,E,5,1
J2-1405,MP2,22,4,L,5,1
J2-1405,MP2,23,4,W,7,1
J2-1405,MP2,25,4,W,5,1
J2-1405,MP2,26,4,W,5,1
J2-1404,mixed ,17,14,W,2,1
J2-1404,mixed ,20,14,E,5,1
J2-1404,mixed ,35,14,E,2,1
J2-1404,mixed ,44,14,E,2,0
J2-1404,mixed ,55,14,E,1,1
J2-1404,mixed ,86,14,PW,7,1
J2-1414,BXH,28,14,W,7,1
J2-1414,BXH,29,14,E,3,1
J2-1414,BXH,30,14,W,7,1
J2-1414,BXF ,6,14,W,7,1
J2-1414,BXF ,7,14,EE,3,1
J2-1415,BXH,21,4,W,6,0
J2-1415,BXH,22,4,L,5,0
J2-1415,BXH,24,4,L,5,0
J2-1415,BXH,25,4,E,5,0
J2-1415,BXH,27,4,W,6,0
J2-1415,BXH,30,14,L,6,0
J2-1415,BXH,31,4,PW,5,0
J2-1414,BXF,13,14,W,5,1
J2-1414,BXF,15,14,W,5,1
J2-1414,BXG,57,14,W,5,1
J2-1416,BXH,28,4,W,24,1
J2-1416,BXG Bag,35,14,W,2,0
J2-1416,BXG,50,14,W,19,1
J2-1416,BXG,52,14,W,2,0
J2-1416,BXG,53,4,W,24,1
J2-1415,BXG,41,14,W,7,0
J2-1415,BXG,50,4,W,7,0
J2-1415,BXG,55,4,W,21,1
J2-1415,BXH,34,4,W,7,0
J2-1415,BXH,41,14,W,13,1
J2-1415,BXH,43,4,W,13,1
J2-1413,BXG,14,4,W,39,1
J2-1413,BXG,9,4,W,39,1
J2-1413,BXB Bag ,18,4,W,39,1
J2-1413,BXH Bag,11,4,W,39,1
J2-1413,BXH,BXH Bag 004,4,L,7,1
J2-1413,BXH,BXH Bag 005,14,E,4,1
J2-1413,BXH,BXH 003,14,W,11,1
J2-1413,BXH,BXH Bag 007,14,W,1,0
J2-1413,BXH,BXH Bag 009,4,EE,7,0
J2-1413,BXH,BXH 004,14,L,28,1
J2-1413,BXH,BXH Bag 010,4,W,11,0
J2-1413,BXH,BXH 006,4,W,7,1
J2-1413,BXH,BXH 010,14,W,11,0
J2-1413,BXH,BXH 011,4,EE,7,1
J2-1413,BXH,BXH 018,14,PW,1,1
J2-1413,BXG ,BXG Bag 001,4,PW,7,1
J2-1413,BXG ,BXG Bag 004,14,PW,7,0
J2-1413,BXG ,BXG Bag 007,4,E,7,1
J2-1413,BXG ,BXG 001,4,E,7,1
J2-1413,BXG ,BXG 002,4,L,7,1
J2-1413,BXG ,BXG 003,4,PW,7,1
J2-1413,BXG ,BXG 004 ,4,EE,7,1
J2-1413,BXG ,BXG 005,4,PW,7,1
J2-1413,BXG ,BXG 006,4,W,7,1
J2-1413,BXG ,BXG 008,4,L,11,0
J2-1413,BXG ,BXG 011,4,W,11,0
J2-1413,BXG ,BXG 012,4,E,7,1
J2-1413,BXG ,BXG 013,4,E,7,1
J2-1413,BXG ,BXG 017,4,L,7,1
J2-1413,BXG ,BXG 019,4,W,11,0
J2-1413,BXB,BXB 001,4,L,7,1
J2-1413,BXB,BXB 002,4,W,11,1
J2-1413,BXB,BXB 003,4,W,7,0
J2-1413,BXB,BXB 004,4,W,11,0
J2-1413,BXB,BXB 005,4,E,4,1
J2-1413,BXB,BXB 011,4,EE,7,1
J2-1413,BXB,BXB 013,4,W,11,0
J2-1413,BXB,BXB 015,4,E,7,1
J2-1413,BXB,BXB 016,4,EE,7,1
J2-1413,BXB,BXB 019,4,PW,7,0
J2-1413,BXB,BXB Bag 004,4,E,7,0
J2-1413,BXB,BXB Bag 010,14,W,11,0
J2-1413,BXB,BXB Bag 014,4,E,7,0
J2-1413,BXB,BXB Bag 015,4,E,7,0
J2-1413,BXB,BXB Bag 016,4,E,7,0
J2-1413,BXB,BXB Bag 019,4,E,7,1
J2-1413,BXB,BXB Bag 020,4,EE,7,1
J2-1413,BXB,BXB Bag 022,4,L,7,0
J2-1413,BXB,BXB Bag 023,4,EE,7,0
J2-1413,BXB,BXB Bag 024,4,E,7,1
J2-1413,BXB,BXB Bag 025,4,L,7,1
J2-1413,BXB,BXB Bag 027,14,W,11,1
J2-1413,BXB,BXB Bag 031,4,E,7,0
J2-1413,BXB,BXB Bag 034,4,E,7,0
J2-1413,BXB,BXB Bag 035,4,L,7,1
